Item,Description,Type,Quantity On Hand,Preferred Vendor,Barcode,Barcode Image
02-22823-000-12,Bottom Rail Cut,Inventory Part,,,02-22823-000-12,BC:02-22823-000-12
02-22823-204-00,Bottom Rail 17',Inventory Part,0,STOUGHTON PARTS,02-22823-204-00,BC:02-22823-204-00
02-22823-408-00,Bottom Rail 34',Inventory Part,,STOUGHTON PARTS,02-22823-408-00,BC:02-22823-408-00
02-22823-621-25,Bottom Rail,Inventory Part,,,02-22823-621-25,BC:02-22823-621-25
02-22823-624-50,Bottom Rail,Inventory Part,0,STOUGHTON PARTS,02-22823-624-50,BC:02-22823-624-50
02-22839-000-12,Lower Rail Cut Per Foot,Inventory Part,,,02-22839-000-12,BC:02-22839-000-12
02-22839-408-00,"Bottom Rail 408"" (34')",Inventory Part,,,02-22839-408-00,BC:02-22839-408-00
02-22839-623-50,Bottom Rail,Inventory Part,0,STOUGHTON PARTS,02-22839-623-50,BC:02-22839-623-50
02-22843-321-25,Bottom Rail,Inventory Part,,,02-22843-321-25,BC:02-22843-321-25
02-24169-623-50,Bottom Rail,Inventory Part,,,02-24169-623-50,BC:02-24169-623-50
02-26134-000-12,Lower Rail Cut,Inventory Part,,,02-26134-000-12,BC:02-26134-000-12
02-26134-621-25,"Bottom Rail AV 621.25""",Inventory Part,0,STOUGHTON PARTS,02-26134-621-25,BC:02-26134-621-25
02-26929-323-50,Bottom Rail,Inventory Part,,,02-26929-323-50,BC:02-26929-323-50
02-26930-323-50,Top Rail,Inventory Part,,,02-26930-323-50,BC:02-26930-323-50
0201-863440,Rear Rach Lock,Inventory Part,0,AERO,0201-863440,BC:0201-863440
0201-963994,Push Rod Assembly,Inventory Part,0,AERO,0201-963994,BC:0201-963994
207825,Bostik 11oz Tubes Case of 24,Inventory Part,,,207825,BC:0207825
021-00001,Nut Hinge,Inventory Part,14,FLEET ENGINEERS,021-00001,BC:021-00001
021-00006,Hinge Strick,Inventory Part,,FLEET ENGINEERS,021-00006,BC:021-00006
021-00010,Hinge Strick,Inventory Part,,FLEET ENGINEERS,021-00010,BC:021-00010
021-00043,Handle Door Hold Back,Inventory Part,29,FLEET ENGINEERS,021-00043,BC:021-00043
021-00050,Hold Back Kit,Inventory Part,16,FLEET ENGINEERS,021-00050,BC:021-00050
022-00013,Hinge,Inventory Part,6,FLEET ENGINEERS,022-00013,BC:022-00013
022-00393,Hinge Dorsey Steel,Inventory Part,4,FLEET ENGINEERS,022-00393,BC:022-00393
022-00614,Hinge Kentucky,Inventory Part,,FLEET ENGINEERS,022-00614,BC:022-00614
022-00888,Hinge Dorsey 4H Alum,Inventory Part,17,FLEET ENGINEERS,022-00888,BC:022-00888
022-00966,Hinge Trailmobile,Inventory Part,,FLEET ENGINEERS,022-00966,BC:022-00966
022-00990,"Hold Back Male 4"" T",Inventory Part,13,FLEET ENGINEERS,022-00990,BC:022-00990
022-00996,Hinge,Inventory Part,,FLEET ENGINEERS,022-00996,BC:022-00996
022-01003,Hinge Strick Alum,Inventory Part,34,FLEET ENGINEERS,022-01003,BC:022-01003
022-01022,"Hold Back Assembly 4"" T",Inventory Part,10,FLEET ENGINEERS,022-01022,BC:022-01022
022-01024,"Hold Back Assembly 6"" T",Inventory Part,7,FLEET ENGINEERS,022-01024,BC:022-01024
022-01035,Hinge Assembly Kentucky,Inventory Part,,,022-01035,BC:022-01035
022-01041,Hinge Manac,Inventory Part,,FLEET ENGINEERS,022-01041,BC:022-01041
022-01051,Hinge Morgan,Inventory Part,,FLEET ENGINEERS,022-01051,BC:022-01051
022-01055,Hinge Vanco 20038,Inventory Part,30,,022-01055,BC:022-01055
022-01056,Hinge Utility,Inventory Part,19,FLEET ENGINEERS,022-01056,BC:022-01056
022-01058,Hinge G/D 3 Hole,Inventory Part,15,FLEET ENGINEERS,022-01058,BC:022-01058
022-01081,Hinge P1086 (04-86386-001-00),Inventory Part,,FLEET ENGINEERS,022-01081,BC:022-01081
022-01083,Bushing For Hinge,Inventory Part,,FLEET ENGINEERS,022-01083,BC:022-01083
022-01085,Door Hinge Bumper,Inventory Part,,FLEET ENGINEERS,022-01085,BC:022-01085
022-01087,Maifest Box Mill,Inventory Part,3,FLEET ENGINEERS,022-01087,BC:022-01087
022-01404,Insert for Hinge,Inventory Part,12,FLEET ENGINEERS,022-01404,BC:022-01404
022-01405,Hinge Bushing,Inventory Part,,FLEET ENGINEERS,022-01405,BC:022-01405
2496,"Socket 3/4"" Drive X 33MM",Inventory Part,,MYERSTIRE,2496,BC:02496
025-01030,"Cables 115"" SS 1/4"" eye..025-01030",Inventory Part,0,FLEET ENGINEERS,025-01030,BC:025-01030
025-01034,"Cable 130"" SS 1/4"" eye",Inventory Part,10,AURORAPARTS,025-01034,BC:025-01034
025-01052,"Cables 105"" SS 5/16"" Eye",Inventory Part,6,AURORAPARTS,025-01052,BC:025-01052
025-01056,"Cable 115"" SS 5/16"" Eye",Inventory Part,6,AURORAPARTS,025-01056,BC:025-01056
025-01058,"Cables 125"" SS 5/16"" Eye",Inventory Part,5,AURORAPARTS,025-01058,BC:025-01058
025-01064,"Cable 97"" SS 5/16 Eye",Inventory Part,4,AURORAPARTS,025-01064,BC:025-01064
025-01098,"Cable 110"" SS 5/16"" Eye",Inventory Part,6,AURORAPARTS,025-01098,BC:025-01098
025-01126,"Cable 125"" SS 1/4"" Eye",Inventory Part,4,FLEET ENGINEERS,025-01126,BC:025-01126
025-01434,"Cables 110"" SS 1/4""Eye",Inventory Part,0,FLEET ENGINEERS,025-01434,BC:025-01434
025-01439,"Door Cable 115"" 5/16"" 7X19",Inventory Part,,FLEET ENGINEERS,025-01439,BC:025-01439
025-01442,"Cable 120"" SS 1/4"" Eye",Inventory Part,12,FLEET ENGINEERS,025-01442,BC:025-01442
025-01443,"Door Cable 120"" -5/16 hole",Inventory Part,,FLEET ENGINEERS,025-01443,BC:025-01443
025-01447,Door Cable  125 SS,Inventory Part,,FLEET ENGINEERS,025-01447,BC:025-01447
025-01451,"Cable 130"" SS 5/16"" Eye",Inventory Part,0,AURORAPARTS,025-01451,BC:025-01451
025-10113,"Roller 2"" W/6"" shaft",Inventory Part,,FLEET ENGINEERS,025-10113,BC:025-10113
025-10403,"Pull Strap Assembly 29.5""",Inventory Part,,FLEET ENGINEERS,025-10403,BC:025-10403
025-10600,Safety Chain Kit,Inventory Part,,FLEET ENGINEERS,025-10600,BC:025-10600
025-154,"Corner Radius Frue 10""",Inventory Part,,FLEET WAREHOUSE,025-154,BC:025-154
025-155,Radius Frue,Inventory Part,,FLEET WAREHOUSE,025-155,BC:025-155
025-200,"Radius G/D 10"" Rad",Inventory Part,,FLEET WAREHOUSE,025-200,BC:025-200
025-201,"Radius 6"" G/D",Inventory Part,0,FLEET WAREHOUSE,025-201,BC:025-201
025-201-001,Corner Radius SS Great Dane,Inventory Part,0,FLEET WAREHOUSE,025-201-001,BC:025-201-001
025-211,"Radius G/D Pines 32"" (6"" rad)",Inventory Part,3,FLEET WAREHOUSE,025-211,BC:025-211
025-218,Radius GD,Inventory Part,0,FLEET WAREHOUSE,025-218,BC:025-218
025-220,Radius Front,Inventory Part,,FLEET WAREHOUSE,025-220,BC:025-220
025-301,Inner Radius,Inventory Part,,,025-301,BC:025-301
025-302,"Radius 4""",Inventory Part,0,FLEET WAREHOUSE,025-302,BC:025-302
025-304,Corner Radius,Inventory Part,0,FLEET WAREHOUSE,025-304,BC:025-304
025-400,Radius Lufkin,Inventory Part,,,025-400,BC:025-400
025-440,Corner Radius Manac,Inventory Part,,,025-440,BC:025-440
025-500,Radius Monon Alum Beveled,Inventory Part,,,025-500,BC:025-500
025-502,Radius Monon Beveled W,Inventory Part,0,FLEET WAREHOUSE,025-502,BC:025-502
025-503,Radius Monon,Inventory Part,,FLEET WAREHOUSE,025-503,BC:025-503
025-525,Inner Radius,Inventory Part,,,025-525,BC:025-525
025-526,Radius,Inventory Part,,,025-526,BC:025-526
025-551,Radius Mill,Inventory Part,1,FLEET WAREHOUSE,025-551,BC:025-551
025-555-002,Radius Beveled Strick,Inventory Part,5,FLEET WAREHOUSE,025-555-002,BC:025-555-002
025-556,Inner Radius,Inventory Part,,,025-556,BC:025-556
025-558,Radius,Inventory Part,,,025-558,BC:025-558
025-558-001,Radius Strick,Inventory Part,,,025-558-001,BC:025-558-001
